cf_id,outcome,backer_id,first_name,last_name,email
968,live,av166,Angelo,Vincent,avincent@live.com
563,live,ha127,Hubert,Arnold,harnold@yandex.com
65,live,lg794,Loris,Goulet,lgoulet@yandex.com
563,live,tb566,Teodora,Brunelli,tbrunelli@outlook.com
563,live,lh506,Lexie,Hunt,lhunt@live.com
563,live,lh382,Lambert,Huber,lhuber@live.com
563,live,em444,Emmy,Morin,emorin@live.com
1572,live,at582,Armonda,Trani,atrani@live.com
1911,live,id772,Ilana,Duke,iduke@outlook.com
65,live,lw275,Leigha,Wright,lwright@live.com
65,live,ub509,Uwe,Becker,ubecker@yahoo.com
1572,live,ha915,Hawa,Audy,haudy@gmail.com
968,live,bb881,Bia,Bonura,bbonura@yahoo.com
65,live,mg332,Michel,Garner,mgarner@protonmail.com
1572,live,kd700,Karole,Dunn,kdunn@yahoo.com
563,live,as695,Arndt,Schreiber,aschreiber@yahoo.com
65,live,iv513,Imen,Villeneuve,ivilleneuve@yahoo.com
65,live,ab842,Alcina,Bonadonna,abonadonna@yandex.com
1114,live,re181,Raelene,Espinoza,respinoza@outlook.com
65,live,kn133,Kati,Nash,knash@protonmail.com
65,live,gj893,Georg,Jager,gjager@yahoo.com
948,live,vp915,Virgilio,Paolella,vpaolella@gmail.com
563,live,ja995,Jerrica,Avila,javila@protonmail.com
563,live,ga249,Gianni,Achterberg,gachterberg@live.com
65,live,td403,Timoteo,Dion,tdion@gmail.com
1572,live,tv463,Teodoro,Verno,tverno@yandex.com
65,live,mw606,Morris,Waller,mwaller@protonmail.com
65,live,hc648,Hans,Chen,hchen@yandex.com
563,live,ta379,Trilby,Auer,tauer@yahoo.com
1572,live,tj583,Theola,Jodoin,tjodoin@yandex.com
65,live,tc559,Tova,Capri,tcapri@live.com
65,live,ww629,Wanda,Walton,wwalton@protonmail.com
1572,live,jg155,Justine,Gill,jgill@yahoo.com
1911,live,jd328,Julee,Doyle,jdoyle@gmail.com
65,live,ld239,Lisbeth,Deliso,ldeliso@gmail.com
968,live,cv918,Carl,Valdez,cvaldez@gmail.com
563,live,kb145,Kelyan,Butler,kbutler@yahoo.com
65,live,dw578,Donat,Weber,dweber@live.com
65,live,ad511,Alethia,Delorme,adelorme@outlook.com
65,live,db633,Darrell,Bernardi,dbernardi@yandex.com
65,live,cr369,Carina,Reeves,creeves@gmail.com
65,live,mr978,Marvin,Ruiz,mruiz@outlook.com
1572,live,md167,Mariabella,Duerr,mduerr@live.com
1572,live,jr877,Jeni,Ricco,jricco@live.com
65,live,om753,Otto,Munoz,omunoz@yahoo.com
1114,live,ng231,Nesrine,Gensch,ngensch@yandex.com
65,live,tl316,Tullio,Lejeune,tlejeune@outlook.com
563,live,dl139,Dreama,Lonardo,dlonardo@live.com
968,live,mw253,Maryrose,West,mwest@live.com
65,live,im424,Irina,Mays,imays@yandex.com
968,live,mb131,Marcelo,Brose,mbrose@protonmail.com
1572,live,nc240,Nestor,Coutant,ncoutant@gmail.com
1572,live,ab318,Aloysius,Braun,abraun@live.com
65,live,af301,Amos,Ferre,aferre@gmail.com
563,live,bl736,Brigitte,Lynch,blynch@outlook.com
65,live,ar957,Alegra,Ramsey,aramsey@yahoo.com
968,live,cb474,Conchita,Beitel,cbeitel@gmail.com
1572,live,dv246,Donnie,Vernet,dvernet@protonmail.com
563,live,cj111,Cyril,Jones,cjones@protonmail.com
563,live,lh765,Lucinda,Hays,lhays@outlook.com
65,live,wh697,Walter,Hermann,whermann@outlook.com
65,live,eb714,Emil,Blanc,eblanc@protonmail.com
1572,live,ec356,Eldwin,Cesare,ecesare@protonmail.com
65,live,yh129,Yusuf,Hudson,yhudson@protonmail.com
65,live,as494,Arrigo,Salazar,asalazar@gmail.com
563,live,lb146,Levi,Beck,lbeck@gmail.com
563,live,cc470,Celinda,Caillet,ccaillet@yandex.com
563,live,mm239,Marcus,Medici,mmedici@gmail.com
65,live,dg360,Daysi,Gamble,dgamble@yahoo.com
1572,live,rh399,Rory,Hildebrand,rhildebrand@yahoo.com
65,live,hr430,Heini,Raffin,hraffin@yahoo.com
65,live,ar829,Anna,Randall,arandall@outlook.com
65,live,sw301,Sharmaine,Weber,sweber@yahoo.com
65,live,rr355,Ranee,Renault,rrenault@outlook.com
1572,live,zc515,Zak,Cianciola,zcianciola@yahoo.com
65,live,gp101,Granville,Potts,gpotts@gmail.com
65,live,bm741,Bo,Marsh,bmarsh@live.com
65,live,jd148,Jay,Duerr,jduerr@yahoo.com
65,live,mm632,Milla,Morin,mmorin@yahoo.com
65,live,ls884,Leanne,Savage,lsavage@gmail.com
968,live,sp364,Silvana,Patton,spatton@live.com
65,live,hh963,Harvey,Hoch,hhoch@outlook.com
65,live,sb272,Seth,Berthier,sberthier@protonmail.com
1114,live,et566,Eugen,Trani,etrani@protonmail.com
1572,live,sd421,Santina,Dieter,sdieter@yahoo.com
65,live,tg563,Trinh,Gregoire,tgregoire@live.com
968,live,kc571,Karin,Celano,kcelano@yandex.com
1114,live,sd121,Sofia,Decker,sdecker@yahoo.com
65,live,sk744,Sherise,Keller,skeller@outlook.com
65,live,km642,Kirby,Michel,kmichel@gmail.com
65,live,fu320,Florentine,Ungaro,fungaro@yandex.com
1911,live,ld180,Louise,Dejesus,ldejesus@yandex.com
65,live,ds377,Daniele,Suarez,dsuarez@yahoo.com
65,live,bb692,Beckie,Buchholz,bbuchholz@live.com
563,live,wd557,William,Dickson,wdickson@yandex.com
65,live,jd905,Jolie,Daugherty,jdaugherty@gmail.com
65,live,dd770,Detta,Dressler,ddressler@yahoo.com
238,live,cv698,Clifton,Villette,cvillette@outlook.com
968,live,cn307,Cythia,Netti,cnetti@outlook.com
1572,live,eb198,Elsbeth,Butler,ebutler@yahoo.com
65,live,am869,Ambrine,Mann,amann@yahoo.com
1911,live,gr400,Gerald,Robert,grobert@protonmail.com
